user_id,session_id,behavior_label,behavior_id,click_count,view_count,purchase_count,time_on_page,cart_add_count,search_count,session_duration,avg_price_viewed,category_diversity,return_rate
user_001,1,brand_loyal,5,10.0,6.0,2.0,4.5933,2.0,1.0,10.0302,371.2608,0.1238,0.0363
user_001,2,brand_loyal,5,15.0,8.0,2.0,2.6928,3.0,1.0,14.1001,397.7963,0.0677,0.0678
user_001,3,brand_loyal,5,10.0,8.0,2.0,4.6715,2.0,2.0,5.4496,445.4692,0.1116,0.0751
user_001,4,brand_loyal,5,9.0,6.0,3.0,5.6157,2.0,3.0,8.6011,369.9565,0.1387,0.0447
user_001,5,brand_loyal,5,16.0,5.0,3.0,3.2014,2.0,2.0,13.4761,426.626,0.2375,0.0546
user_001,6,brand_loyal,5,11.0,6.0,2.0,5.2338,3.0,2.0,9.9888,374.9225,0.0954,0.0479
user_001,7,brand_loyal,5,17.0,11.0,4.0,5.8111,4.0,2.0,9.2868,397.1643,0.0814,0.0449
user_001,8,brand_loyal,5,9.0,10.0,4.0,5.7654,2.0,3.0,8.5457,392.961,0.1168,0.0327
user_001,9,brand_loyal,5,13.0,11.0,2.0,5.4069,4.0,1.0,6.8202,385.8738,0.0859,0.025
user_001,10,brand_loyal,5,14.0,5.0,2.0,3.4223,4.0,2.0,8.6279,370.7186,0.1764,0.0733
user_002,1,deal_hunter,6,54.0,26.0,6.0,11.4535,15.0,19.0,47.1947,105.6483,0.8523,0.22
user_002,2,deal_hunter,6,26.0,21.0,4.0,7.6205,11.0,22.0,32.4527,107.6386,0.7778,0.1443
user_002,3,deal_hunter,6,46.0,30.0,0.0,9.0811,13.0,23.0,25.8558,87.7216,0.8449,0.1655
user_002,4,deal_hunter,6,31.0,30.0,0.0,8.1164,18.0,25.0,48.0626,120.1009,0.7905,0.1401
user_002,5,deal_hunter,6,28.0,33.0,6.0,4.3093,15.0,20.0,41.9048,132.8087,0.866,0.2033
user_002,6,deal_hunter,6,54.0,29.0,4.0,4.1179,10.0,19.0,21.0481,132.1853,0.8751,0.0882
user_002,7,deal_hunter,6,47.0,16.0,1.0,6.4318,12.0,15.0,36.1702,87.2051,0.8989,0.1527
user_002,8,deal_hunter,6,40.0,26.0,1.0,9.1751,13.0,16.0,32.9982,106.8789,0.9536,0.2361
user_002,9,deal_hunter,6,51.0,16.0,6.0,8.5481,10.0,20.0,43.779,129.9954,0.8158,0.1238
user_002,10,deal_hunter,6,39.0,26.0,1.0,4.4145,14.0,26.0,38.6824,84.3876,0.9394,0.1967
user_003,1,researcher,1,43.0,37.0,2.0,11.8025,4.0,15.0,25.8643,211.7664,0.8555,0.0693
user_003,2,researcher,1,20.0,35.0,1.0,11.3309,3.0,16.0,44.9497,193.8174,0.5521,0.0875
user_003,3,researcher,1,46.0,20.0,1.0,12.7184,5.0,19.0,55.9013,735.4329,0.5393,0.0949
user_003,4,researcher,1,31.0,21.0,2.0,7.171,3.0,13.0,58.7284,203.4967,0.9234,0.0346
user_003,5,researcher,1,46.0,31.0,2.0,10.3758,2.0,14.0,45.806,111.8784,0.9322,0.0236
user_003,6,researcher,1,42.0,39.0,2.0,12.0136,4.0,10.0,21.9805,519.551,0.6538,0.0963
user_003,7,researcher,1,40.0,34.0,1.0,13.1815,5.0,9.0,25.0233,635.8804,0.5946,0.0459
user_003,8,researcher,1,22.0,15.0,1.0,6.7239,2.0,10.0,44.5246,210.0427,0.9331,0.0615
user_003,9,researcher,1,24.0,16.0,2.0,7.6623,2.0,13.0,52.7129,785.2631,0.7258,0.0564
user_003,10,researcher,1,41.0,15.0,2.0,10.2088,5.0,19.0,52.6006,282.4726,0.6336,0.0201
user_004,1,price_sensitive,3,30.0,22.0,1.0,3.6301,5.0,19.0,28.3453,162.4975,0.7034,0.1637
user_004,2,price_sensitive,3,23.0,23.0,3.0,5.9723,9.0,21.0,32.0962,171.1336,0.667,0.177
user_004,3,price_sensitive,3,15.0,26.0,2.0,4.109,10.0,13.0,33.25,77.6768,0.7213,0.1495
user_004,4,price_sensitive,3,31.0,15.0,3.0,7.4174,12.0,22.0,20.6755,149.2279,0.7372,0.0605
user_004,5,price_sensitive,3,23.0,17.0,3.0,9.8053,6.0,10.0,21.0428,99.1483,0.7119,0.099
user_004,6,price_sensitive,3,16.0,28.0,2.0,6.4934,13.0,17.0,18.7479,85.0149,0.833,0.1265
user_004,7,price_sensitive,3,20.0,11.0,1.0,5.6996,7.0,18.0,35.3183,136.9446,0.6825,0.1842
user_004,8,price_sensitive,3,28.0,29.0,1.0,8.2643,6.0,15.0,22.2318,59.3037,0.9003,0.0971
user_004,9,price_sensitive,3,21.0,18.0,1.0,5.1338,11.0,14.0,33.5078,168.2927,0.9482,0.1705
user_004,10,price_sensitive,3,17.0,18.0,1.0,9.3902,12.0,24.0,25.9497,135.9889,0.861,0.166
user_005,1,researcher,1,46.0,25.0,2.0,7.7096,2.0,11.0,30.8364,698.7857,0.5143,0.0261
user_005,2,researcher,1,24.0,34.0,1.0,10.4605,4.0,10.0,57.3861,105.9984,0.5215,0.0353
user_005,3,researcher,1,28.0,36.0,2.0,11.7614,3.0,16.0,48.8357,609.9297,0.5,0.0963
user_005,4,researcher,1,44.0,29.0,2.0,5.1564,5.0,17.0,52.3915,686.0534,0.542,0.0791
user_005,5,researcher,1,39.0,30.0,1.0,10.0559,3.0,14.0,25.0422,712.6469,0.7305,0.0523
user_005,6,researcher,1,33.0,32.0,1.0,11.8695,4.0,10.0,43.3207,736.2424,0.9239,0.0251
user_005,7,researcher,1,22.0,33.0,2.0,10.9652,3.0,15.0,38.0569,272.8743,0.8554,0.0708
user_005,8,researcher,1,29.0,17.0,2.0,10.3212,5.0,11.0,55.9781,749.1565,0.6812,0.0912
user_005,9,researcher,1,31.0,23.0,1.0,9.7594,4.0,11.0,57.1174,417.8676,0.8305,0.0494
user_005,10,researcher,1,25.0,34.0,1.0,8.3864,4.0,12.0,36.5792,110.3662,0.8785,0.0611
user_006,1,impulse_buyer,0,35.0,7.0,5.0,0.5342,8.0,4.0,8.122,106.2972,0.3086,0.3292
user_006,2,impulse_buyer,0,31.0,8.0,5.0,0.5134,7.0,4.0,9.1482,260.934,0.4953,0.1173
user_006,3,impulse_buyer,0,33.0,6.0,4.0,0.8461,5.0,4.0,10.6948,447.3643,0.4896,0.1929
user_006,4,impulse_buyer,0,19.0,9.0,5.0,1.6076,6.0,4.0,13.6105,284.4668,0.77,0.226
user_006,5,impulse_buyer,0,25.0,6.0,5.0,2.1938,6.0,4.0,14.4169,166.9428,0.5502,0.2727
user_006,6,impulse_buyer,0,39.0,13.0,4.0,1.8867,5.0,4.0,13.1026,265.531,0.4021,0.1106
user_006,7,impulse_buyer,0,32.0,5.0,7.0,2.8719,6.0,4.0,11.854,109.9865,0.3857,0.2134
user_006,8,impulse_buyer,0,22.0,10.0,6.0,2.9023,7.0,4.0,9.885,260.7549,0.3768,0.2432
user_006,9,impulse_buyer,0,20.0,6.0,6.0,0.6964,7.0,4.0,5.9491,337.6331,0.6513,0.1166
user_006,10,impulse_buyer,0,31.0,8.0,6.0,1.1157,10.0,2.0,10.9678,300.6303,0.7881,0.2709
user_007,1,impulse_buyer,0,23.0,8.0,5.0,1.9942,9.0,4.0,14.4673,142.3623,0.3774,0.3362
user_007,2,impulse_buyer,0,36.0,7.0,7.0,1.0066,10.0,4.0,12.0114,372.0448,0.5041,0.1038
user_007,3,impulse_buyer,0,18.0,11.0,3.0,1.855,7.0,1.0,7.2048,390.2904,0.6086,0.2849
user_007,4,impulse_buyer,0,20.0,10.0,3.0,1.7451,7.0,2.0,8.2704,456.0228,0.3422,0.3018
user_007,5,impulse_buyer,0,29.0,8.0,7.0,1.7818,7.0,2.0,14.9626,191.6688,0.5734,0.2677
user_007,6,impulse_buyer,0,32.0,8.0,7.0,0.7285,5.0,1.0,13.7747,395.4893,0.3069,0.1621
user_007,7,impulse_buyer,0,39.0,9.0,5.0,1.1189,7.0,1.0,9.2477,186.1378,0.5985,0.2487
user_007,8,impulse_buyer,0,30.0,11.0,4.0,2.7124,11.0,3.0,9.935,213.3219,0.6934,0.1994
user_007,9,impulse_buyer,0,20.0,5.0,5.0,1.8036,7.0,2.0,8.7111,468.3066,0.5922,0.2346
user_007,10,impulse_buyer,0,31.0,5.0,7.0,2.1662,7.0,1.0,9.1134,449.4892,0.619,0.3084
user_008,1,price_sensitive,3,31.0,27.0,2.0,7.9657,8.0,21.0,29.1299,141.7151,0.6241,0.1797
user_008,2,price_sensitive,3,30.0,23.0,1.0,3.287,10.0,16.0,16.6743,180.127,0.7371,0.1048
user_008,3,price_sensitive,3,33.0,25.0,1.0,6.2923,10.0,13.0,35.7332,55.1741,0.714,0.1939
user_008,4,price_sensitive,3,17.0,19.0,2.0,4.4101,12.0,19.0,27.3206,135.9299,0.6582,0.1842
user_008,5,price_sensitive,3,32.0,18.0,1.0,4.5969,8.0,13.0,19.2389,172.6215,0.7291,0.0941
user_008,6,price_sensitive,3,29.0,22.0,2.0,9.2878,6.0,10.0,33.5204,175.4669,0.6192,0.1664
user_008,7,price_sensitive,3,20.0,21.0,3.0,6.6859,5.0,11.0,37.0563,101.4873,0.7356,0.1509
user_008,8,price_sensitive,3,26.0,27.0,1.0,5.7121,11.0,18.0,19.7688,51.0762,0.6635,0.0996
user_008,9,price_sensitive,3,32.0,17.0,3.0,6.7823,13.0,24.0,28.8177,111.1153,0.7365,0.1715
user_008,10,price_sensitive,3,27.0,22.0,3.0,9.2257,13.0,15.0,24.1092,190.79,0.832,0.1767
user_009,1,impulse_buyer,0,39.0,8.0,5.0,2.3907,11.0,3.0,9.7032,300.8201,0.3624,0.1963
user_009,2,impulse_buyer,0,18.0,8.0,4.0,2.7155,7.0,2.0,8.9153,265.0487,0.6478,0.1008
user_009,3,impulse_buyer,0,20.0,8.0,6.0,2.4855,8.0,1.0,10.882,292.3892,0.6212,0.1162
user_009,4,impulse_buyer,0,30.0,14.0,6.0,1.9017,10.0,4.0,11.7647,421.9956,0.4349,0.3063
user_009,5,impulse_buyer,0,31.0,7.0,7.0,2.3648,6.0,2.0,7.0984,430.0523,0.5601,0.1934
user_009,6,impulse_buyer,0,37.0,5.0,3.0,0.7215,8.0,1.0,10.9823,394.2652,0.7992,0.3333
user_009,7,impulse_buyer,0,27.0,5.0,3.0,2.0939,8.0,4.0,6.7825,374.3645,0.7956,0.2868
user_009,8,impulse_buyer,0,21.0,13.0,4.0,1.9694,5.0,4.0,8.6224,233.8045,0.3131,0.106
user_009,9,impulse_buyer,0,36.0,10.0,3.0,2.824,7.0,1.0,5.5614,441.0912,0.4128,0.1942
user_009,10,impulse_buyer,0,19.0,8.0,3.0,1.588,9.0,4.0,6.3348,132.2406,0.664,0.2241
user_010,1,window_shopper,4,3.0,10.0,0.0,1.9686,1.0,4.0,9.8219,300.4006,0.5658,0.0488
user_010,2,window_shopper,4,5.0,26.0,0.0,2.1364,1.0,4.0,8.1437,362.27,0.7224,0.0269
user_010,3,window_shopper,4,4.0,18.0,0.0,3.7227,1.0,2.0,9.3836,563.9104,0.8292,0.0148
user_010,4,window_shopper,4,8.0,15.0,0.0,1.2124,1.0,4.0,8.7595,363.4577,0.6712,0.0397
user_010,5,window_shopper,4,4.0,24.0,0.0,3.0168,0.0,3.0,11.6248,546.7604,0.617,0.0287
user_010,6,window_shopper,4,4.0,11.0,0.0,3.9477,0.0,2.0,10.6262,250.9901,0.5859,0.0082
user_010,7,window_shopper,4,5.0,21.0,0.0,2.9706,0.0,1.0,5.0802,301.4548,0.5866,0.0494
user_010,8,window_shopper,4,7.0,20.0,0.0,3.4218,0.0,3.0,10.1705,383.518,0.5629,0.0205
user_010,9,window_shopper,4,5.0,14.0,0.0,1.7989,1.0,3.0,11.8134,326.5669,0.8688,0.0457
user_010,10,window_shopper,4,8.0,15.0,0.0,3.6555,0.0,1.0,8.449,530.2277,0.8609,0.0006
user_011,1,brand_loyal,5,11.0,6.0,4.0,4.9432,3.0,2.0,14.7124,709.2554,0.1067,0.0216
user_011,2,brand_loyal,5,8.0,10.0,4.0,4.3682,4.0,2.0,7.4623,652.1866,0.1917,0.0527
user_011,3,brand_loyal,5,10.0,11.0,4.0,3.8771,3.0,3.0,12.8997,668.0308,0.0692,0.0429
user_011,4,brand_loyal,5,17.0,5.0,2.0,3.279,4.0,2.0,12.3358,709.3521,0.1276,0.0509
user_011,5,brand_loyal,5,10.0,9.0,2.0,4.1668,2.0,1.0,11.5358,642.4335,0.0582,0.0351
user_011,6,brand_loyal,5,18.0,5.0,2.0,4.7116,4.0,2.0,13.7947,694.1577,0.2318,0.0563
user_011,7,brand_loyal,5,16.0,7.0,2.0,4.4989,4.0,2.0,9.561,698.9809,0.2066,0.0449
user_011,8,brand_loyal,5,9.0,5.0,3.0,2.1246,4.0,3.0,7.4942,716.2498,0.0859,0.0748
user_011,9,brand_loyal,5,12.0,6.0,3.0,3.8255,3.0,1.0,12.5534,670.7279,0.1147,0.0549
user_011,10,brand_loyal,5,10.0,8.0,3.0,5.2809,4.0,2.0,8.1009,662.7452,0.1837,0.0653
user_012,1,gift_buyer,7,14.0,5.0,2.0,3.4565,3.0,4.0,4.3288,559.8361,0.3705,0.045
user_012,2,gift_buyer,7,14.0,8.0,1.0,1.3125,1.0,3.0,5.1346,628.0343,0.6479,0.0474
user_012,3,gift_buyer,7,11.0,5.0,2.0,2.8826,2.0,5.0,5.6618,719.5362,0.3872,0.0226
user_012,4,gift_buyer,7,13.0,5.0,1.0,3.8603,3.0,5.0,6.2242,1217.351,0.3854,0.0442
user_012,5,gift_buyer,7,14.0,4.0,1.0,3.7493,3.0,7.0,9.5136,1047.7446,0.4202,0.0489
user_012,6,gift_buyer,7,5.0,4.0,1.0,1.4539,1.0,6.0,4.544,943.5685,0.6128,0.043
user_012,7,gift_buyer,7,14.0,5.0,2.0,3.8715,2.0,3.0,4.9448,1110.0524,0.6082,0.0592
user_012,8,gift_buyer,7,10.0,4.0,2.0,3.9453,3.0,7.0,3.1208,615.8737,0.301,0.019
user_012,9,gift_buyer,7,13.0,6.0,1.0,2.2064,2.0,5.0,6.3061,859.7326,0.5558,0.0288
user_012,10,gift_buyer,7,8.0,4.0,1.0,1.0461,3.0,4.0,3.6633,1371.1233,0.4637,0.0444
user_013,1,researcher,1,27.0,26.0,2.0,12.9511,3.0,12.0,59.0975,775.0473,0.5737,0.044
user_013,2,researcher,1,49.0,32.0,2.0,12.8173,3.0,16.0,30.4265,164.77,0.6797,0.0535
user_013,3,researcher,1,23.0,39.0,1.0,6.6654,5.0,10.0,52.834,297.0341,0.5315,0.0245
user_013,4,researcher,1,31.0,29.0,2.0,7.4371,2.0,12.0,37.8355,596.0085,0.8293,0.0339
user_013,5,researcher,1,44.0,16.0,1.0,10.0003,4.0,13.0,43.2895,309.912,0.5155,0.0708
user_013,6,researcher,1,43.0,35.0,2.0,12.9639,3.0,8.0,55.4638,387.6598,0.7719,0.0704
user_013,7,researcher,1,45.0,32.0,1.0,11.2677,5.0,19.0,54.9414,265.5324,0.5952,0.0789
user_013,8,researcher,1,47.0,22.0,2.0,6.6251,2.0,10.0,54.0633,704.6527,0.683,0.081
user_013,9,researcher,1,27.0,33.0,1.0,14.4549,5.0,17.0,37.4117,467.6077,0.5898,0.08
user_013,10,researcher,1,47.0,23.0,1.0,9.4269,4.0,8.0,29.3208,669.1994,0.7648,0.0369
user_014,1,brand_loyal,5,12.0,9.0,2.0,3.3884,4.0,1.0,13.5883,724.8776,0.1297,0.0216
user_014,2,brand_loyal,5,10.0,9.0,4.0,2.7693,2.0,3.0,13.1607,770.8954,0.1149,0.0394
user_014,3,brand_loyal,5,16.0,6.0,4.0,4.8445,2.0,2.0,9.9021,727.542,0.2155,0.036
user_014,4,brand_loyal,5,12.0,6.0,3.0,2.3409,3.0,2.0,14.7984,815.3776,0.2204,0.0708
user_014,5,brand_loyal,5,10.0,5.0,3.0,3.0418,2.0,1.0,11.4084,807.4038,0.1821,0.0703
